PosX;PosY;Rank;Temperature;Heat-Flux
0.9125;0;0;303.78;0
0.925;0;0;303.709;0
0.9375;0;0;303.652;0
0.95;0;0;303.616;0
0.9625;0;0;303.557;0
0.975;0;0;303.51;0
0.9875;0;0;303.286;0
1;0;0;302.843;0
0.8875;0;0;303.88;0
0.9;0;0;303.835;0
0.5875;0;0;304.154;0
0.6;0;0;304.153;0
0.6125;0;0;304.151;0
0.625;0;0;304.15;0
0.6375;0;0;304.147;0
0.65;0;0;304.144;0
0.6625;0;0;304.141;0
0.675;0;0;304.137;0
0.6875;0;0;304.132;0
0.7;0;0;304.127;0
0.7125;0;0;304.121;0
0.725;0;0;304.113;0
0.7375;0;0;304.105;0
0.75;0;0;304.096;0
0.7625;0;0;304.087;0
0.775;0;0;304.076;0
0.7875;0;0;304.063;0
0.8;0;0;304.047;0
0.8125;0;0;304.03;0
0.825;0;0;304.009;0
0.8375;0;0;303.986;0
0.85;0;0;303.962;0
0.8625;0;0;303.938;0
0.875;0;0;303.909;0
0.5375;0;0;304.153;0
0.55;0;0;304.154;0
0.5625;0;0;304.154;0
0.575;0;0;304.154;0
0.2;0;0;303.856;0
0.2125;0;0;303.887;0
0.225;0;0;303.915;0
0.2375;0;0;303.939;0
0.25;0;0;303.961;0
0.2625;0;0;303.981;0
0.275;0;0;304;0
0.2875;0;0;304.018;0
0.3;0;0;304.034;0
0.3125;0;0;304.048;0
0.325;0;0;304.061;0
0.3375;0;0;304.072;0
0.35;0;0;304.083;0
0.3625;0;0;304.092;0
0.375;0;0;304.101;0
0.3875;0;0;304.109;0
0.4;0;0;304.116;0
0.4125;0;0;304.122;0
0.425;0;0;304.128;0
0.4375;0;0;304.133;0
0.45;0;0;304.137;0
0.4625;0;0;304.141;0
0.475;0;0;304.144;0
0.4875;0;0;304.147;0
0.5;0;0;304.149;0
0.5125;0;0;304.151;0
0.525;0;0;304.152;0
0.1875;0;0;303.823;0
0;0;0;302.282;0
0.0125;0;0;302.736;0
0.025;0;0;302.897;0
0.0375;0;0;303.033;0
0.05;0;0;303.119;0
0.0625;0;0;303.218;0
0.075;0;0;303.317;0
0.0875;0;0;303.405;0
0.1;0;0;303.483;0
0.1125;0;0;303.553;0
0.125;0;0;303.613;0
0.1375;0;0;303.66;0
0.15;0;0;303.706;0
0.1625;0;0;303.747;0
0.175;0;0;303.786;0
